latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,confidence,version,bright_t31,frp,daynight
-24.90125,-59.75073,309.64,3.21,1.7,2021-12-31,0202,T,42,6.1NRT,298.06,26.51,N
-24.87603,-59.41571,312.9,3.03,1.66,2021-12-31,0202,T,84,6.1NRT,297.31,42.39,N
-24.87862,-59.44588,309.91,3.05,1.66,2021-12-31,0202,T,76,6.1NRT,297.44,31.08,N
-24.90501,-59.75685,310.44,3.21,1.7,2021-12-31,0202,T,76,6.1NRT,298.14,30.97,N
-24.88698,-59.72647,309.45,3.19,1.69,2021-12-31,0202,T,74,6.1NRT,298.11,29.5,N
-24.37975,-60.30983,309.66,3.47,1.75,2021-12-31,0202,T,74,6.1NRT,296.88,37.45,N
-24.27416,-59.92323,320.71,3.25,1.7,2021-12-31,0202,T,100,6.1NRT,296.89,84.43,N
-24.25871,-59.92472,308.23,3.25,1.7,2021-12-31,0202,T,70,6.1NRT,296.57,29.27,N
-20.98618,-49.65208,336.65,1.07,1.03,2021-12-31,0202,T,100,6.1NRT,291.39,42.53,N
-20.98772,-49.66231,313.57,1.07,1.03,2021-12-31,0202,T,87,6.1NRT,290.06,13.54,N
-21.28461,-55.85091,300.26,1.51,1.21,2021-12-31,0202,T,23,6.1NRT,280.66,8.8,N
-20.39922,-55.11771,317.57,1.32,1.14,2021-12-31,0202,T,95,6.1NRT,292.81,21.53,N
-18.5303,-53.52565,308.94,1.06,1.03,2021-12-31,0202,T,76,6.1NRT,290.53,8.87,N
-18.45009,-55.53342,310.21,1.32,1.14,2021-12-31,0202,T,79,6.1NRT,290.45,12.19,N
-18.45163,-55.54593,303.36,1.33,1.14,2021-12-31,0202,T,55,6.1NRT,287.53,5.76,N
-18.03517,-61.91463,301.61,3.82,1.83,2021-12-31,0202,T,43,6.1NRT,286.8,24.23,N
-18.02918,-61.92019,303.07,3.82,1.83,2021-12-31,0202,T,53,6.1NRT,286.85,30.83,N
-17.72652,-62.03589,318.69,3.87,1.83,2021-12-31,0202,T,97,6.1NRT,294.72,102.29,N
-17.72977,-62.07251,333.51,3.9,1.84,2021-12-31,0202,T,100,6.1NRT,295.11,225.97,N
